schema_version,run_id,workload_id,workload_name,dataset_id,model_name,model_params_b,architecture,quantization,backend,flash_mode,pipeline,n_ctx,prefix_tokens,compactable_tokens,live_suffix_tokens,compression_ratio,compacted_tokens,continuation_tokens,prefill_ms,prefill_tok_s,compaction_time_ms,query_generation_time_ms,solver_time_ms,first_token_ms,baseline_decode_tok_s,compacted_decode_tok_s,throughput_delta_pct,active_n_kv,allocated_kv_bytes,reclaimed_kv_bytes,logit_cosine,task_metric_name,task_metric_value,quality_correct,quality_total,quality_accuracy,quality_baseline_accuracy,longhealth_correct,longhealth_total,longhealth_accuracy,longhealth_baseline_accuracy,threshold_name,threshold_value,pass,fallback_used,fallback_reason,crash,error_text,artifact_path
1,20260312-075412-5510b88c-Ajays-MacBook,W2,standard,sec-10k-filings,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,baseline,4096,3276,2620,656,1,0,16,10461.0,313.2,0.0,0.0,0.0,95.6,10.5,10.5,0.0000,3292,,,1.000000,,,,,,,,,,,,0.0000,true,false,,false,,
1,20260312-075412-5510b88c-Ajays-MacBook,W2,standard,sec-10k-filings,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,baseline,8192,6553,5242,1311,1,0,16,23071.7,284.0,0.0,0.0,0.0,176.7,5.7,5.7,0.0000,6569,,,1.000000,,,,,,,,,,,,0.0000,true,false,,false,,
1,20260312-075412-5510b88c-Ajays-MacBook,W2,standard,sec-10k-filings,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,baseline,16384,13107,10485,2622,1,0,16,60013.6,218.4,0.0,0.0,0.0,209.4,4.8,4.8,0.0000,13123,,,1.000000,,,,,,,,,,,,0.0000,true,false,,false,,
1,20260312-075412-5510b88c-Ajays-MacBook,W2,standard,sec-10k-filings,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,baseline,32768,26214,20971,5243,1,0,16,172466.7,152.0,0.0,0.0,0.0,200.2,5.0,5.0,0.0000,26230,,,1.000000,,,,,,,,,,,,0.0000,true,false,,false,,
1,20260312-075412-5510b88c-Ajays-MacBook,W2,standard,sec-10k-filings,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,select,4096,3276,2620,656,2,1310,16,10469.3,312.9,409.3,0.0,0.0,99.1,24.1,10.1,-58.1590,768,,,0.973334,,,,,,,,,,,W2:logit_cosine:2,0.9500,true,false,,false,,
1,20260312-075412-5510b88c-Ajays-MacBook,W2,standard,sec-10k-filings,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,select,4096,3276,2620,656,4,655,16,10413.4,314.6,346.4,0.0,0.0,80.1,24.0,12.5,-48.0298,768,,,0.927651,,,,,,,,,,,W2:logit_cosine:4,0.9000,true,false,,false,,
1,20260312-075412-5510b88c-Ajays-MacBook,W2,standard,sec-10k-filings,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,select,4096,3276,2620,656,8,327,16,10405.9,314.8,307.3,0.0,0.0,70.8,24.0,14.1,-41.2364,768,,,0.838410,,,,,,,,,,,W2:logit_cosine:8,0.8500,false,false,,false,,
1,20260312-075412-5510b88c-Ajays-MacBook,W2,standard,sec-10k-filings,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,select,4096,3276,2620,656,16,163,16,10414.6,314.6,293.0,0.0,0.0,65.5,24.1,15.3,-36.6805,768,,,0.902600,,,,,,,,,,,W2:logit_cosine:16,0.8500,true,false,,false,,
1,20260312-075412-5510b88c-Ajays-MacBook,W2,standard,sec-10k-filings,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,select,4096,3276,2620,656,32,81,16,10502.1,311.9,279.0,0.0,0.0,63.2,24.1,15.8,-34.3736,768,,,0.870696,,,,,,,,,,,W2:logit_cosine:32,0.8500,true,false,,false,,
1,20260312-075412-5510b88c-Ajays-MacBook,W2,standard,sec-10k-filings,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,select,4096,3276,2620,656,50,52,16,10418.8,314.4,281.2,0.0,0.0,61.7,24.1,16.2,-32.8331,768,,,0.824902,,,,,,,,,,,W2:logit_cosine:50,0.8500,false,false,,false,,
