schema_version,run_id,workload_id,workload_name,dataset_id,model_name,model_params_b,architecture,quantization,backend,flash_mode,pipeline,n_ctx,prefix_tokens,compactable_tokens,live_suffix_tokens,compression_ratio,compacted_tokens,continuation_tokens,prefill_ms,prefill_tok_s,compaction_time_ms,query_generation_time_ms,solver_time_ms,first_token_ms,baseline_decode_tok_s,compacted_decode_tok_s,throughput_delta_pct,active_n_kv,allocated_kv_bytes,reclaimed_kv_bytes,logit_cosine,task_metric_name,task_metric_value,quality_correct,quality_total,quality_accuracy,quality_baseline_accuracy,longhealth_correct,longhealth_total,longhealth_accuracy,longhealth_baseline_accuracy,threshold_name,threshold_value,pass,fallback_used,fallback_reason,crash,error_text,artifact_path
1,20260312-091356-5510b88c-build-host GQA,Q4_K_M,metal,off,baseline,4096,3276,2620,656,1,0,16,10498.0,312.1,0.0,0.0,0.0,94.2,10.6,10.6,0.0000,3292,,,1.000000,,,,,,,,,,,,0.0000,true,false,,false,,
1,20260312-091356-5510b88c-build-host GQA,Q4_K_M,metal,off,baseline,8192,6553,5242,1311,1,0,16,23020.1,284.7,0.0,0.0,0.0,175.2,5.7,5.7,0.0000,6569,,,1.000000,,,,,,,,,,,,0.0000,true,false,,false,,
1,20260312-091356-5510b88c-build-host GQA,Q4_K_M,metal,off,baseline,16384,13107,10485,2622,1,0,16,59684.3,219.6,0.0,0.0,0.0,205.5,4.9,4.9,0.0000,13123,,,1.000000,,,,,,,,,,,,0.0000,true,false,,false,,
1,20260312-091356-5510b88c-build-host GQA,Q4_K_M,metal,off,baseline,32768,26214,20971,5243,1,0,16,171841.6,152.5,0.0,0.0,0.0,199.5,5.0,5.0,0.0000,26230,,,1.000000,,,,,,,,,,,,0.0000,true,false,,false,,
1,20260312-091356-5510b88c-build-host GQA,Q4_K_M,metal,off,select,4096,3276,2620,656,2,1310,16,10420.7,314.4,397.4,0.0,0.0,98.9,23.9,10.1,-57.7683,768,,,0.973334,,,,,,,,,,,W2:logit_cosine:2,0.9500,true,false,,false,,
1,20260312-091356-5510b88c-build-host GQA,Q4_K_M,metal,off,select,4096,3276,2620,656,4,655,16,10497.8,312.1,338.0,0.0,0.0,80.6,23.9,12.4,-48.1681,768,,,0.927651,,,,,,,,,,,W2:logit_cosine:4,0.9000,true,false,,false,,
1,20260312-091356-5510b88c-build-host GQA,Q4_K_M,metal,off,select,4096,3276,2620,656,8,327,16,10416.9,314.5,305.7,0.0,0.0,70.7,24.0,14.2,-40.9670,768,,,0.838410,,,,,,,,,,,W2:logit_cosine:8,0.8500,false,false,,false,,
1,20260312-091356-5510b88c-build-host GQA,Q4_K_M,metal,off,select,4096,3276,2620,656,16,163,16,10402.2,314.9,280.1,0.0,0.0,65.7,24.0,15.2,-36.5815,768,,,0.902600,,,,,,,,,,,W2:logit_cosine:16,0.8500,true,false,,false,,
1,20260312-091356-5510b88c-build-host GQA,Q4_K_M,metal,off,select,4096,3276,2620,656,32,81,16,10417.2,314.5,283.7,0.0,0.0,63.3,24.0,15.8,-34.0972,768,,,0.870696,,,,,,,,,,,W2:logit_cosine:32,0.8500,true,false,,false,,
1,20260312-091356-5510b88c-build-host GQA,Q4_K_M,metal,off,select,4096,3276,2620,656,50,52,16,10536.8,310.9,268.9,0.0,0.0,62.8,24.0,15.9,-33.6698,768,,,0.824902,,,,,,,,,,,W2:logit_cosine:50,0.8500,false,false,,false,,
